23-Mar-22 00:06:18 - scrapy.utils.log - INFO - Scrapy 2.5.1 started (bot: scrapybot)
23-Mar-22 00:06:18 - scrapy.utils.log - INFO - Versions: lxml 4.6.3.0, libxml2 2.9.10, cssselect 1.1.0, parsel 1.6.0, w3lib 1.22.0, Twisted 20.3.0, Python 3.9.10 (main, Jan 16 2022, 17:12:18) - [GCC 11.2.0], pyOpenSSL 21.0.0 (OpenSSL 1.1.1m  14 Dec 2021), cryptography 3.4.8, Platform Linux-5.9.0-kali1-amd64-x86_64-with-glibc2.33
23-Mar-22 00:06:18 - scrapy.utils.log - DEBUG - Using reactor: twisted.internet.epollreactor.EPollReactor
23-Mar-22 00:06:18 - scrapy.crawler - INFO - Overridden settings:
{'CONCURRENT_REQUESTS': 15,
 'LOG_LEVEL': 'CRITICAL',
 'RETRY_ENABLED': False,
 'USER_AGENT': 'Sitadel 1.0.1'}
23-Mar-22 00:06:18 - scrapy.extensions.telnet - INFO - Telnet Password: a71ba48511ade9a4
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled item pipelines:
[]
23-Mar-22 00:06:18 - scrapy.core.engine - INFO - Spider opened
23-Mar-22 00:06:18 - scrapy.extensions.logstats - INFO - Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
23-Mar-22 00:06:18 - scrapy.extensions.telnet - INFO - Telnet console listening on 127.0.0.1:6023
23-Mar-22 00:06:21 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/> (referer: None)
23-Mar-22 00:06:21 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:21 - scrapy.dupefilters - DEBUG - Filtered duplicate request: <GET http://www.normalwebsite.com/> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/video> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2020/1/3/have-the-newest-year-ever> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2021/3/18/batsam-begins> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?offset=1610689562516> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/how+to> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/via+internets> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2022/12/21/batsam-returns> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2021/3/8/premiere-skills> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Work> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:22 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?format=rss> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Life> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Pictured> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2022/01/15/have-the-newest-year-ever> (referer: http://www.normalwebsite.com/)
